"movieNm","movieCd"
"콩고","20112873"
"괜찮아요 수달씨","20112879"
"나비와 바다","20125431"
"인어할머니와 선장","20112878"
"엠","20070450"
"레스트리스","20113083"
"뮤직 네버 스탑","20112742"
"""조제, 호랑이 그리고 물고기들""","20040703"
"악질경찰","20098352"
"워낭소리","20081727"
"사랑한다면 이들처럼","20112877"
"남과 여","19790108"
"아무르","20112872"
"너는 펫","20111928"
"희망의 별 - 이퀘지레템바","20101018"
"7년만의 외출","20112774"
"사물의 비밀","20119890"
"티끌모아 로맨스","20112762"
"쟈니 잉글리쉬2 : 네버다이","20112553"
"바람불어 좋은 날","19800068"
"드라이브","20112692"
"이유없는 반항","19990225"
"AISFF2011-감독열전","20113092"
"신들의 전쟁","20111987"
"무협","20112701"
"카사블랑카","19420001"
"문학소녀 Memoir","20112827"
"극장판 전국 바사라","20112828"
"은실이","20112861"
"AISFF2011-트래블링 쇼츠 인 코리아","20113105"
"푸치니의 여인","20112891"
"단탈리안의 서가","20112863"
"완벽한 파트너","20112934"
"물 좀 주소","20080400"
"파리의 도둑고양이","20125066"
"쾌락","20098575"
"발퀴레","20113309"
"뷰티풀 엑스","20113156"
"바토리","20113361"
"여인잔혹사 물레야 물레야","19840015"
"려수","20119432"
"모차르트 락 오페라","20113151"
"비기너스","20112933"
"다슬이","20111004"
"고교얄개","20070481"
"여름의 빛","20112816"
"토니","19358018"
"머니볼","20112311"
"자전거 도둑","20112775"
"특수본","20110906"
"50/50","20113306"
"하트 브레이커","20113201"
"퍼펙트 센스","20112973"
